round,case,mode,median_ns,report_sha256,report_path,log_path
8,writeEscapedBytes,pure,1367808.000000,f7fecfd4e1e48c89998a807774e2f7f4454bc5c061cbb4f91d7f0515e987cb6b,raw/run-08/writeEscapedBytes-pure,logs/run-08-writeEscapedBytes-pure.log
8,writeEscapedStrings,native,1644449.969231,d9de91e8170f722b6e5387bb05b9bd1d4e3033949226105c257ac14442f5ad29,raw/run-08/writeEscapedStrings-native,logs/run-08-writeEscapedStrings-native.log
8,writeEscapedStrings,pure,1606572.218182,17f381479e6a38366fda1407826ca0552ab8f91a0a13b234e5699fceb00e7e19,raw/run-08/writeEscapedStrings-pure,logs/run-08-writeEscapedStrings-pure.log
8,readNumericDocument,native,1279661.969892,61510ddeda83c8c1818512b503fadd579869b3eb3775e68f0b907709f155510a,raw/run-08/readNumericDocument-native,logs/run-08-readNumericDocument-native.log
8,readNumericDocument,pure,2094952.220610,f81c2eec627fee6841e6328cc26fbda0e343dbfa14925e954afa38da6b154137,raw/run-08/readNumericDocument-pure,logs/run-08-readNumericDocument-pure.log
8,readNumericArray,native,2546906.536585,d8b46065ec234f750960901da57911a2f7850f5c585ce552bb8ba34d61067f89,raw/run-08/readNumericArray-native,logs/run-08-readNumericArray-native.log
8,readNumericArray,pure,2754888.311688,4a14b43f625c42c4d3b56762a8d456a8a72226607e9bfd0dcd0f4cef1192d132,raw/run-08/readNumericArray-pure,logs/run-08-readNumericArray-pure.log
8,writeNumericBytes,native,551877.885057,ac6c2672726050e2f9b2a982bcbb994b8018b729b8f5e2e672660620558b5ba3,raw/run-08/writeNumericBytes-native,logs/run-08-writeNumericBytes-native.log
8,writeNumericBytes,pure,2329567.312543,b5b16b2bc6f4156298a9d51e8957bb4c8630cdba1c427e59210bc5e5fb1fe4f2,raw/run-08/writeNumericBytes-pure,logs/run-08-writeNumericBytes-pure.log
8,writeNumericArray,native,6843520.000000,5557a82a1dceefbbc194816e305e4255c20a060e1b4c3f2a171b696f37c9386d,raw/run-08/writeNumericArray-native,logs/run-08-writeNumericArray-native.log
8,writeNumericArray,pure,7279280.000000,82b5d310301f2c8b902a0792ae5ddc16a4830fab6435e54a0327471ead495bbf,raw/run-08/writeNumericArray-pure,logs/run-08-writeNumericArray-pure.log
9,writeNumericBytes,pure,2372713.797888,b306a87256bcdc869f516c16b16ff1d5cc953c14f2bedff95541c8a9bb750df4,raw/run-09/writeNumericBytes-pure,logs/run-09-writeNumericBytes-pure.log
9,writeNumericBytes,native,541031.401268,680705cb2c6eccdd2b45bbce08d8ae8c2ea7a70b9d6ee1d53cfb95f5dc16adc4,raw/run-09/writeNumericBytes-native,logs/run-09-writeNumericBytes-native.log
9,readNumericArray,pure,2710951.975976,d1921ec766327d156b5fba96620179c22d70da28957395ac13f5b2230f9b81c8,raw/run-09/readNumericArray-pure,logs/run-09-readNumericArray-pure.log
9,readNumericArray,native,2617698.909091,ce24ce47978eebf673683310887f025560983f08282eeef2a12b7e2abef68e0e,raw/run-09/readNumericArray-native,logs/run-09-readNumericArray-native.log
9,readNumericDocument,pure,2112143.323013,d3f7ae265a9babfc0825259f972882147cd1a72ad981327022f64786b044df01,raw/run-09/readNumericDocument-pure,logs/run-09-readNumericDocument-pure.log
9,readNumericDocument,native,1219332.754286,ea2de54df762b5ea464bb0eeaf0ec8ab995624a4aa66aa6f7f736ac1f761897f,raw/run-09/readNumericDocument-native,logs/run-09-readNumericDocument-native.log
9,writeEscapedStrings,pure,1616161.882353,a6f1107237ce0d8a1474678bfb4640c5964f8ed378b3ca54cdc1dddbdce08ba5,raw/run-09/writeEscapedStrings-pure,logs/run-09-writeEscapedStrings-pure.log
9,writeEscapedStrings,native,1666243.047619,1ffebe02ef6175ba8427c21a91fb56ea8b7f6211fa09f35a5d22dd6454e60f63,raw/run-09/writeEscapedStrings-native,logs/run-09-writeEscapedStrings-native.log
9,writeEscapedBytes,pure,1379328.000000,551db53b9a24190ab32cdc23aee69481c8d5c89520a6784ee3791baf93b0c77a,raw/run-09/writeEscapedBytes-pure,logs/run-09-writeEscapedBytes-pure.log
9,writeEscapedBytes,native,1364288.000000,85dcd2123c22e394c5c33977cd146a10000d229447aca7d2cd95bb6caca2e707,raw/run-09/writeEscapedBytes-native,logs/run-09-writeEscapedBytes-native.log
9,writePlainStrings,pure,1304525.714286,bec8e50fce3c776debae8660edb6b4badab55875ff277e2cad5d3dfd280f5986,raw/run-09/writePlainStrings-pure,logs/run-09-writePlainStrings-pure.log
9,writePlainStrings,native,1259648.000000,d49e92342b59797c1f5f3a87b6dfd4aa11ddc76ef54d02b371002125dbe6b573,raw/run-09/writePlainStrings-native,logs/run-09-writePlainStrings-native.log
9,writeNumericArray,pure,7184755.200000,acb6c37b23f1e2d5974633c8b042afef564cbe38b2b7bc2403f403d336c82fa6,raw/run-09/writeNumericArray-pure,logs/run-09-writeNumericArray-pure.log
9,writeNumericArray,native,7387616.000000,1a0a199b6fd0c71cc59c2a136856efd221fbfe83f8b99a4e5ef574aafe5900e9,raw/run-09/writeNumericArray-native,logs/run-09-writeNumericArray-native.log
10,writeNumericBytes,native,559331.200000,bb55674c1a091598a2ae3af5b4cc2bd0533433732d9ada5064477313902d9f20,raw/run-10/writeNumericBytes-native,logs/run-10-writeNumericBytes-native.log
10,writeNumericBytes,pure,2376893.490196,34b9d7fa9873dc7d37186bde34f1e772e70dbe95c2e32928c0180a23a22dc4ac,raw/run-10/writeNumericBytes-pure,logs/run-10-writeNumericBytes-pure.log
10,writeNumericArray,native,7257862.400000,a2ff1deb05cfc5ae25ddb272f9063ca869c2d1781b1cf2aae34085e47f3db534,raw/run-10/writeNumericArray-native,logs/run-10-writeNumericArray-native.log
10,writeNumericArray,pure,7023397.333333,2d19a87ba5b0465f072521df540383e16d7fec684876d1f897c7cab115ede5c9,raw/run-10/writeNumericArray-pure,logs/run-10-writeNumericArray-pure.log
10,writePlainStrings,native,1272704.000000,36818b1c1893a72c93ff5b70b581fb4b394bc0290572eb7d0ac8aa07028baaa1,raw/run-10/writePlainStrings-native,logs/run-10-writePlainStrings-native.log
10,writePlainStrings,pure,1298618.966292,e8989a22f056f5d0fb1202cce9b30de418126a301698075e45e18f5eb0ad8d69,raw/run-10/writePlainStrings-pure,logs/run-10-writePlainStrings-pure.log
10,writeEscapedBytes,native,1361792.000000,31d8483b87e6df8f131f2c6110e172715e724932d462918faa909acace9f9993,raw/run-10/writeEscapedBytes-native,logs/run-10-writeEscapedBytes-native.log
10,writeEscapedBytes,pure,1363328.000000,f14257d53118a3f965afe54971c434829f25c22e871ea82b4fa1918c9a42c90c,raw/run-10/writeEscapedBytes-pure,logs/run-10-writeEscapedBytes-pure.log
10,writeEscapedStrings,native,1652906.458055,d2b294af39644e8720c6a5ddb0929d3447c2d5298eae2a05748908df925fb8b2,raw/run-10/writeEscapedStrings-native,logs/run-10-writeEscapedStrings-native.log
10,writeEscapedStrings,pure,1690335.492063,41c4f1664aea7a4d87de2c74e50ce91e05a656f4d8eb4c9d6aa4d9a1d76c8c71,raw/run-10/writeEscapedStrings-pure,logs/run-10-writeEscapedStrings-pure.log
10,readNumericDocument,native,1130088.838095,a182a837b4fc32993fc755bc5f7ff21427c5d6115f3a3b28e75a6ea526cac7d3,raw/run-10/readNumericDocument-native,logs/run-10-readNumericDocument-native.log
